"id","name","image","modified","updated_by_id","listened_count"
"83","Стас Михайлов","images/artists/image_IquBhdG.jpg","19/9/2023 09:06:29.-1f+00","1","0"
"84","Тимур Темиров","images/artists/image_k0cZgq8.jpg","22/8/2023 12:29:45.-1f+00","1","0"
"85","Тимати","images/artists/image_ZPkPkZK.jpg","8/12/2023 09:50:40.-1f+00","1","0"
"86","Богдан Титомир","images/artists/image_RZoVaml.jpg","22/8/2023 12:33:12.-1f+00","1","0"
"87","Юлдуз Усманова","images/artists/image_Trn3k0N.jpg","22/8/2023 12:36:14.-1f+00","1","0"
"88","Любовь Успенская","images/artists/image_tOlRHXQ.jpg","27/11/2023 07:05:54.-1f+00","1","0"
"89","Хабиб","images/artists/image_bAzz70V.jpg","22/8/2023 12:38:53.-1f+00","1","0"
"90","Севак Ханагян","images/artists/image_pgxUGQ7.jpg","22/8/2023 12:40:46.-1f+00","1","0"
"91","Дато","images/artists/image_Rzpub66.jpg","22/8/2023 12:41:59.-1f+00","1","0"
"92","Анита Цой","images/artists/image_d5QfyDu.jpg","6/9/2023 07:44:02.-1f+00","1","0"
"93","Люся Чеботина","images/artists/image_3OvK8Nn.jpg","22/8/2023 12:45:52.-1f+00","1","0"
"94","Алексей Чумаков","images/artists/image_47yJ0eS.jpg","22/8/2023 12:46:41.-1f+00","1","0"
"95","Shaman","images/artists/image_yYP1uEe.jpg","22/8/2023 12:48:00.-1f+00","1","0"
"96","Шура","images/artists/image_mjikgss.jpg","22/8/2023 12:49:16.-1f+00","1","0"
"97","Михаил Шуфутинский","images/artists/image_vNmwMVu.jpg","23/9/2023 07:29:29.-1f+00","1","0"
"98","Сергей Лазарев","images/artists/image_zYViNKW.jpg","20/9/2023 06:39:22.-1f+00","1","0"
"99","Олег Майами","images/artists/image_W8eg3f7.jpg","24/8/2023 08:33:51.-1f+00","1","0"
"100","Горан Брегович","images/artists/image_EjTHM8L.jpg","24/8/2023 08:52:27.-1f+00","1","0"
"101","Тати","images/artists/image_3oEOfIK.jpg","24/8/2023 10:16:49.-1f+00","1","0"
